,vacancy_id
2835,131337983
2839,131189188
2841,131404225
2843,130706859
2844,131505321
2848,131401118
2849,130560129
2850,131344389
2853,128578304
2854,131272291
2855,131257718
2856,127914111
2857,131398432
2858,131243420
2859,129601282
2861,131415041
2862,130439440
2863,131252736
2864,130946446
2866,129701297
2867,131412905
2868,129887110
2869,128580693
2871,124054145
2872,131002624
2873,131339436
2876,131780984
2877,131156242
2881,131208564
2882,131168123
2883,126969724
2884,126969674
2891,130978564
2892,129923534
2893,124046929
2894,131779646
2895,129351913
2901,131215304
2904,131435155
2905,130319201
2906,130280144
2910,130981689
2911,126924791
2913,130969125
2915,129945390
2920,131722142
2924,131734266
2926,131268575
2928,131430514
2930,131701309
2931,131076240
2932,131698427
2933,131673906
2934,131049398
2935,131116443
2939,131247369
2941,131089115
2942,131608282
2945,131712649
2951,131408749
2956,131625665
2957,131623049
2959,131630395
2960,131537112
2961,131611781
2966,131388784
2967,131570679
2969,131467272
2973,131455138
2974,131168676
2975,131377627
2978,131456037
2981,129644042
2982,131274066
2984,129644538
2985,129705534
2986,131171817
2987,131349404
2989,131158679
2993,128676228
2994,129923825
2999,131057671
3003,131002393
3004,131397366
3005,131109652
3006,131291273
3007,131396093
3008,131396094
3010,131147848
3014,130436634
3017,131038876
3020,130433096
3022,131252079
3030,131026693
3032,131214177
3034,130135905
3038,131039716
3040,130994301
3043,131700184
3044,131700185
3045,131700186
3047,124053575
3069,131517455
3104,131738173
3129,131485324
3133,126966739
3137,131769654
3166,131703579
3170,131027274
3176,131696598
3180,131526859
3212,131671087
3225,131527985
3230,119327979
3240,131676787
3273,131450516
3291,131141416
3300,129988464
3308,129313020
3311,129313284
3328,131665651
3333,131386415
3366,130797005
3367,130797156
3368,130797204
3398,130850742
3418,131622365
3419,131622366
3420,131622367
3423,131613720
3451,131585582
3467,130956371
3480,131625963
3494,131348303
3503,131561759
3531,131483321
3536,131399921
3543,131498457
3584,131267775
3590,131792816
3643,131372538
3645,126389801
3653,129249372
3687,131775968
3693,131412209
3707,131246938
3772,130428674
3773,130232929
3783,131105499
3791,131142220
3822,130388573
3827,130981161
3832,131447126
3856,131709770
3857,131706830
3864,130972742
3865,130972310
3866,131692955
3874,131218934
3894,131667771
3903,131616627
3904,130784836
3938,130758539
3941,130758504
3950,131558942
3969,131083705
4018,128868282
4027,131195187
4038,131229299
4046,131028040
4055,131097146
4058,131206017
4062,131078147
4087,131028009
4098,129935467
4111,130988719
4120,131211730
4123,131307537
4124,131309911
4125,131315882
4137,131450520
4164,131774143
4167,131742734
4173,131622368
4191,131793946
4192,131418895
4193,131795206
4194,131753808
4195,131056071
4196,131209639
4197,131773043
4198,131203085
4199,131197002
4200,131740117
4201,131113064
4202,131770707
4203,131746584
4204,131749832
4205,131746794
4206,131133212
4208,131541827
4209,131541828
4210,131734229
4212,131576330
4213,131099697
4214,131209760
4215,131678937
4216,131206509
4217,131700859
4218,131613384
4219,131169298
4220,131169026
4221,131782229
4222,131603548
4223,131659589
4224,131695649
4225,131360090
4226,130868767
4227,131400629
4228,131660800
4229,131429263
4230,131679790
4231,131603861
4232,130142271
4233,131482207
4234,131555891
4235,131587972
4236,131691058
4237,131572681
4238,131372645
4239,131606599
4240,131680292
4241,131244104
4242,131406734
4243,131602977
4244,131587569
4245,131719707
4246,131579959
4247,131673773
4248,131269587
4249,130936620
4250,130566594
4251,131544790
4252,131578086
4253,131616456
4254,131631693
4255,131631694
4256,131557764
4257,131429349
4258,131269152
4259,131725556
4260,130475724
4261,131438436
4262,130541924
4263,131688344
4264,131562095
4265,131100942
4266,130963544
4267,131056511
4268,131672593
4269,131672778
4270,131590303
4271,130916184
4272,131019093
4273,131622661
4274,130946387
4275,130251315
4276,131296820
4277,131172403
4278,131097579
4279,131247466
4280,131269580
4281,131058366
4282,131273269
4283,131624950
4284,131302677
4285,131128033
4286,131673052
4287,129538133
4288,131065180
4289,131055702
4290,131269023
4291,131445948
4292,129537501
4293,131426644
4294,131426645
4295,131395561
4296,130770696
4297,131461402
4298,131591471
4299,131482158
4300,131314364
4301,131167723
4302,131351007
4303,131318472
4304,131256326
4305,130994406
4306,131083362
4307,131173921
4308,130139818
4309,128032201
4310,130983739
4311,131094002
4312,130975310
4313,131167750
4314,131794265
4315,131184019
4316,131428385
4317,130699864
4318,131330665
4319,131007637
4320,131130494
4321,131139499
4322,131130314
4323,131276843
4324,131790268
4325,130963719
4326,130458289
4327,130999788
4328,131584631
4329,131424512
4330,131424513
4331,131424514
4332,131432032
4333,131310061
4334,131352164
4335,130504176
4336,131551534
4337,131230133
4338,131358705
4339,131357787
4340,131746116
4341,131483613
4342,131207979
4343,131156422
4344,131397448
4345,131483612
4346,131168527
4347,131168465
4348,131084844
4349,131463047
4350,131429521
4351,131075327
4352,131738373
4353,130741030
4354,130336114
4355,131272702
4356,131396444
4357,131449970
4358,126825379
4359,131379107
4360,130976210
4361,131158592
4362,131081971
4363,131741269
4364,131144878
4365,131745719
4366,130553766
4367,131085839
4368,131417825
4369,131417826
4370,131680362
4371,131259451
4372,131167686
4373,131747506
4374,131413914
4375,131714299
4376,130583866
4377,131714341
4378,131013138
4379,131482209
4380,131711780
4381,131676094
4382,131678925
4383,131706123
4384,131661202
4385,131655170
4386,131662783
4387,131586959
4388,131663058
4389,130949327
4390,131622931
4391,131023901
4392,131679151
4393,130968069
4394,129714818
4395,130151281
4396,131468604
4397,131553630
4398,131622531
4399,131537969
4400,130777377
4401,131512239
4402,130316483
4403,131540130
4404,130767557
4405,131462668
4406,131517612
4407,131515985
4408,131581780
4409,130743401
4410,131473569
4411,131578430
4412,130840642
4413,131395074
4414,131538374
4415,131394740
4416,131535371
4417,131337310
4418,131409195
4419,131308429
4420,131166647
4421,130868304
4422,131033080
4423,130316482
4424,131439836
4425,131339042
4426,127718522
4427,131273738
4428,130620147
4429,131392092
4430,131392030
4431,131391927
4432,131041451
4433,131452088
4434,131035792
4435,131200935
4436,131000846
4437,130976978
4438,130504090
4439,131217032
4440,126741551
4441,123530141
4442,131101054
4443,131101055
4444,131166250
4445,131097287
4446,131126920
4447,131056132
4448,130966555
4449,130990183
4450,131424515
4452,131522097
4453,131522098
4454,131522034
4455,131522035
4456,131521938
4460,131056031
4468,131712644
4469,131497233
4470,131502305
4471,131376480
4472,131398055
4473,130560028
4474,130371501
4477,131025949
4478,131302257
4480,131532062
4481,131532017
4482,131531925
4485,130957964
4488,131564140
4493,131310740
4494,131298027
4497,131351987
4499,131244015
4500,131430371
4503,131248107
4504,131376773
4505,129577450
4509,130986323
4510,130986324
4515,131647609
4516,131439632
4517,131552398
4519,131395797
4520,128525575
4521,131251928
